signe,metier,categorie,element
taureau,hoteliere,hotelerie_restauration,terre
scorpion,data scientist,ingenieur,eau
verseau,data scientist,ingenieur,air
vierge,chage de communication,communication,terre
capricorne,responsable marketing digital,marketing,terre
lion,product manager,ingenieur,feu
belier,charge d'etude marketing,marketing,feu
taureau,vendeur de vin,commercial,terre
lion,phamarcien,sante,feu
lion,phamarcien,sante,feu
cancer,phamarcien,sante,eau
taureau,directeur commercial,commercial,terre
vierge,finance,finance,terre
vierge,trader,finance,terre
sagittaire,ingenieur,ingenieur,feu
verseau,chef de projet,ingenieur,air
poisson,etudiant informatique,ingenieur,eau
balance ,analyste,commercial,air
sagittaire,photographe,crea,feu
verseau,directeur photographie,crea,air
vierge,informaticien,ingenieur,terre
gemeaux,etaudiant marketing,etudiant,air
cancer,marketing,marketing,eau
sagittaire,marketing,marketing,feu
cancer,consultant,marketing,eau
cancer,fonctionnaire,fonction publique,eau
vierge,styliste,crea,terre
cancer,directeur de projet,ingenieur,eau
verseau,dierecteur RH,ressources humaines,air
verseau,chercheur,sante,air
vierge,creatrice textile,crea,terre
belier,secretaire comptable,finance,feu
gemeaux,psychologue,sante,air
gemeaux,agent ratp,transport,air
gemeaux,responsable projet acces etudes,transport,air
cancer,consultant communication,communication,eau
cancer,employe de banque,finance,eau
belier,chef de projet multimedia,ingenieur,feu
vierge,professeur,fonction publique,terre
verseau,analyste commercial,commercial,air
gemeaux,marketing,marketing,air
poisson,kine,sante,eau
vierge,journaliste,journalisme,terre
capricorne,journaliste,journalisme,terre
vierge,RH,ressources humaines,terre
vierge,restaurateur,hotelerie_restauration,terre
gemeaux,restaurateur,hotelerie_restauration,air
vierge,IT consultant,ingenieur,terre
capricorne,commercial,commercial,terre
scorpion,professeur,fonction publique,eau
lion,responsable d'exploitation,ingenieur,feu
scorpion,boucher,artisanat,eau
gemeaux,finance,finance,air
cancer,finance,finance,eau
taureau,sante,sante,terre
sagittaire,informaticien,ingenieur,feu
verseau,sante,sante,air
balance ,sante,sante,air
scorpion,transport ratp,transport,eau
gemeaux,communication,communication,air
taureau,communication,communication,terre
sagittaire,communication,communication,feu
scorpion,finance,finance,eau
capricorne,assurance,finance,terre
poisson,finance,finance,eau
vierge,hoteliere,hotelerie_restauration,terre
verseau,IT,ingenieur,air
vierge,communication,communication,terre
balance ,avocat,juridique,air
belier,science,sante,feu
sagittaire,finance,finance,feu
poisson,finance,finance,eau
vierge,hotelerie,hotelerie_restauration,terre
balance ,juriste,juridique,air
capricorne,fonctionnaire,fonction publique,terre
cancer,ergotherapeute,sante,eau
vierge,commercial,commercial,terre
balance ,musicien,crea,air
taureau,directrice d'ecole,fonction publique,terre
gemeaux,IT,ingenieur,air
verseau,sante,sante,air
taureau,graphiste,crea,terre
belier,danseur,crea,feu
balance ,RH,ressources humaines,air
poisson,commercial,commercial,eau
taureau,sante,sante,terre